HS.PIT.1.4,Air or gas is administered to the patient (> 4nL to <= 1 mL),N/A,N/A,1,1,N/A
HS.PIT.1.5,Air or gas is administered to the patient (> 1 mL to <= 10 mL),N/A,N/A,1,1,N/A
HS.PIT.1.6,Air or gas is administered to the patient (> 10 mL to <= 50 mL),N/A,N/A,1,1,N/A
HS.PIT.1.7,Air or gas is administered to the patient (> 50 mL),N/A,N/A,1,1,N/A
HS.PIT.10.1,Patient receives more therapy than intended (variance of > 5% to <= 10%),N/A,N/A,2,2,1
HS.PIT.10.2,Patient receives more therapy than intended (variance of > 10% to <= 20%),N/A,N/A,1,1,1
HS.PIT.10.3,Patient receives more therapy than intended (variance of > 20% to <= 100%),N/A,N/A,1,1,1
HS.PIT.11.1,Patient is exposed to impurities at levels exceeding toxicological qualification or clinical safety (organic or degradants),N/A,N/A,3,3,2
HS.PIT.11.10,Patient is exposed to residual solvents or process materials not defined by current guidances at levels exceeding toxicological qualification or clinical safety,N/A,N/A,1,1,N/A
HS.PIT.11.3,Patient is exposed to impurities at levels exceeding toxicological qualification or clinical safety (elemental ICH Class 1),N/A,N/A,1,1,N/A
HS.PIT.11.4,Patient is exposed to impurities at levels exceeding toxicological qualification or clinical safety (elemental ICH Class 2),N/A,N/A,1,1,N/A
HS.PIT.11.5,Patient is exposed to impurities at levels exceeding toxicological qualification or clinical safety (elemental ICH Class 3),N/A,N/A,1,1,N/A
HS.PIT.11.6,"Patient is exposed to impurities that are not defined or are defined as ""other"" by current guidances",N/A,N/A,1,1,N/A
HS.PIT.11.7,Patient is exposed to residual solvents or process materials at levels exceeding toxicological qualification or clinical safety (ICH Class 1),N/A,N/A,1,1,N/A
HS.PIT.11.8,Patient is exposed to residual solvents or process materials at levels exceeding toxicological qualification or clinical safety (ICH Class 2),N/A,N/A,1,1,N/A
HS.PIT.11.9,Patient is exposed to residual solvents or process materials at levels exceeding toxicological qualification or clinical safety (ICH Class 3),N/A,N/A,1,1,N/A
HS.PIT.13.1,Patient is exposed to a product with a higher concentration or strength than intended (variance of > 5% to <= 10%),N/A,N/A,1,1,1
HS.PIT.13.2,Patient is exposed to a product with a higher concentration or strength than intended (variance of > 10% to <= 20%),N/A,N/A,1,1,1
HS.PIT.13.3,Patient is exposed to a product with a higher concentration or strength than intended (variance of > 20% to <= 100%),N/A,N/A,1,1,1
HS.PIT.13.4,Patient is exposed to a product with a higher concentration or strength than intended (variance of > 100%),N/A,N/A,1,1,1
HS.PIT.13.5,Patient is exposed to a product with a lower concentration or strength than intended (variance of > 5% to <= 10%),N/A,N/A,2,1,2
HS.PIT.13.6,Patient is exposed to a product with a lower concentration or strength than intended (variance of > 10% to <= 20%),N/A,N/A,2,1,2
HS.PIT.13.7,Patient is exposed to a product with a lower concentration or strength than intended (variance of > 20% to <= 100%),N/A,N/A,2,1,2
HS.PIT.14.1,Patient is exposed to an incorrect or unintended product,N/A,N/A,2,2,1
HS.PIT.15.1,Patient is exposed to a product via an incorrect route of administration,N/A,N/A,1,1,N/A
HS.PIT.16.1,Patient receives less therapy than intended (variance of > 5% to <= 10%),N/A,N/A,2,2,1
HS.PIT.16.2,Patient receives less therapy than intended (variance of > 10% to <= 20%),N/A,N/A,1,1,1
HS.PIT.16.3,Patient receives less therapy than intended (variance of > 20% to <= 100%),N/A,N/A,1,1,1
HS.PIT.18.1,Patient experiences an interruption of therapy (> 1 minute to <= 5 minutes),N/A,N/A,1,1,1
HS.PIT.18.2,Patient experiences an interruption of therapy (> 5 minutes to <= 1 hour),N/A,N/A,1,1,1
HS.PIT.18.3,Patient experiences an interruption of therapy (> 1 hour to <= 3 hours),N/A,N/A,1,1,1
HS.PIT.18.4,Patient experiences an interruption of therapy (> 3 hours to < = 12 hours),N/A,N/A,1,1,1
